date,channel,viewing_min,devices_used,location_count,trp_value,is_fake
2025-01-03,SunTV,405,1,699,2.558637311665171,0
2025-01-03,ABPNews,382,2,599,2.6679646148354452,0
2025-01-03,NDTV,425,11,460,2.819410641186892,0
2025-01-03,IndiaTV,381,1,588,2.7486367431630794,0
2025-01-03,CNNNews18,416,12,635,3.3603011157573612,0
2025-01-03,TimesNow,411,18,875,3.1436060970642696,0
2025-01-03,RepublicTV,427,11,816,3.0597442193294264,0
2025-01-03,TV9,416,18,609,2.727308472499751,0
2025-01-03,Asianet,424,5,508,2.790529994127508,0
2025-01-03,Colors,406,1,800,3.0792019653064395,0
2025-01-03,SonyTV,388,3,779,2.603265206354107,0
2025-01-03,StarPlus,393,7,701,2.7061390684094175,0
2025-01-03,ZeeCinema,395,11,652,2.2203405151919355,0
2025-01-03,StarMovies,395,3,690,2.5839846542377716,0
2025-01-03,HBO,409,22,894,2.8624627834994056,0
2025-01-03,Discovery,429,1,658,2.974571564592694,0
2025-01-03,NationalGeographic,431,1,502,3.228859157711071,0
2025-01-03,AnimalPlanet,408,1,668,2.8954242347176944,0
2025-01-03,HistoryTV18,380,5,617,3.557181084546122,0
2025-01-03,CartoonNetwork,394,13,789,2.5784289251418286,0
2025-01-03,Pogo,441,4,627,3.2185483816736062,0
2025-01-03,Nickelodeon,385,4,665,2.57503757768089,0
2025-01-03,SonyMax,425,1,377,3.0411686224508956,0
2025-01-03,ZeeTelugu,402,1,777,2.96384463546385,0
2025-01-03,ETV,385,7,719,3.2187313364417847,0
2025-01-03,GeminiTV,381,9,753,2.944666327006405,0
2025-01-03,MaaTV,390,16,442,3.0235333150208343,0
2025-01-03,UdayaTV,381,13,778,2.9099388634695056,0
2025-01-03,SuryaTV,395,4,723,3.188484880062643,0
2025-01-03,KTV,372,1,849,3.3681742424605767,0
2025-01-03,JayaTV,432,22,767,3.2353372470125548,0
2025-01-03,RajTV,386,17,732,3.3809229175227915,0
2025-01-03,KalaignarTV,418,18,903,3.419902790435191,0
2025-01-03,DDNews,405,9,749,3.427974883868099,0
2025-01-03,DDNational,391,14,771,2.5923797656106364,0
2025-01-03,DDSports,412,1,739,3.1299772627102453,0
2025-01-03,TenSports,393,11,397,3.3616572536694753,0
2025-01-03,StarSports,376,10,715,2.887929303194304,0
2025-01-03,SonySports,406,1,562,2.976133359036523,0
2025-01-03,Eurosport,418,1,423,2.6238264733690606,0
2025-01-03,CNBC,429,20,597,2.4459505531307557,0
2025-01-03,BloombergTV,386,17,784,3.2943103923709947,0
2025-01-03,BBCWorld,377,18,767,3.4060426294735455,0
2025-01-03,AlJazeera,389,3,408,3.6503264260142716,0
2025-01-03,France24,425,13,556,2.085984007177673,0
2025-01-03,VH1,433,5,596,3.512579254573968,0
2025-01-03,MTV,385,24,574,2.063841785671191,0
2025-01-04,News24,8,173,3996,10.482540238232664,1
2025-01-04,StarTV,0,183,3936,10.183337123926261,1
2025-01-04,ZeeTV,47,172,3850,10.12780018068526,1
2025-01-04,SunTV,9,176,3995,9.705168607610023,1
2025-01-04,ABPNews,4,183,4239,9.87531872685429,1
2025-01-04,NDTV,17,163,3919,9.669505291874053,1
2025-01-04,IndiaTV,62,176,3800,9.447838725826685,1
2025-01-04,CNNNews18,65,193,3835,9.38084693017054,1
2025-01-04,TimesNow,47,177,3619,9.910167674417522,1
2025-01-04,RepublicTV,12,166,4035,10.243671440238984,1
2025-01-04,TV9,58,195,3596,9.093240465058328,1
2025-01-04,Asianet,48,169,3774,9.320045270096573,1
2025-01-04,Colors,46,172,3875,9.882082282035212,1
2025-01-04,SonyTV,31,204,3784,10.114876930047247,1
2025-01-04,StarPlus,17,198,3966,8.975329684188878,1
2025-01-04,ZeeCinema,6,167,3874,9.180860180768313,1
2025-01-04,StarMovies,5,157,3985,9.39860346280897,1
2025-01-04,HBO,55,170,3951,9.595556805612768,1
2025-01-04,Discovery,54,173,3766,9.880714074362134,1
2025-01-04,NationalGeographic,17,186,4002,10.14946432120147,1
2025-01-04,AnimalPlanet,-1,174,3880,10.317428061313688,1
2025-01-04,HistoryTV18,53,198,4150,8.984123556749834,1
2025-01-04,CartoonNetwork,39,193,3446,10.082100759606048,1
2025-01-04,Pogo,38,177,3681,9.449847801170677,1
2025-01-04,Nickelodeon,52,198,3759,10.039969064349654,1
2025-01-04,SonyMax,24,182,3564,10.601468586286074,1
2025-01-04,ZeeTelugu,55,201,3437,10.12155642371999,1
2025-01-04,ETV,45,171,4046,10.702513306679752,1
2025-01-04,GeminiTV,65,175,3806,9.836524003951933,1
2025-01-04,MaaTV,1,180,3917,9.28036033162208,1
2025-01-04,UdayaTV,50,183,3491,10.344429331668996,1
2025-01-04,SuryaTV,36,208,4014,9.41400192473182,1
2025-01-04,KTV,56,189,3938,9.452380214147547,1
2025-01-04,JayaTV,19,179,3717,9.399757378958453,1
2025-01-04,RajTV,33,183,3644,10.504551923208746,1
2025-01-04,KalaignarTV,33,181,3865,10.330690444547791,1
2025-01-04,DDNews,27,194,3860,10.087428755160824,1
2025-01-04,DDNational,50,186,4027,9.500381113702195,1
2025-01-04,DDSports,34,187,3517,10.526372251776133,1
2025-01-04,TenSports,23,181,3673,10.666923437187268,1
2025-01-04,StarSports,14,160,3742,9.592510314375705,1
2025-01-04,SonySports,40,189,3759,9.921136121909257,1
2025-01-04,Eurosport,52,169,3853,8.826895373388622,1
2025-01-04,CNBC,43,167,3851,10.11459166786539,1
2025-01-04,BloombergTV,0,197,3967,10.42012165807965,1
2025-01-04,BBCWorld,15,171,3595,9.380770856301922,1
2025-01-04,AlJazeera,69,163,3857,10.140839599952749,1
2025-01-04,France24,42,190,3708,9.268630221872867,1
2025-01-04,VH1,52,168,4002,9.212334399428247,1
2025-01-04,MTV,52,182,3632,10.127097449029076,1
2025-01-05,News24,450,6,870,2.8734258184922226,0
2025-01-05,StarTV,426,6,816,3.0624519748431283,0
2025-01-05,ZeeTV,461,12,749,2.8101365702936585,0
2025-01-05,SunTV,425,17,655,4.205717384219942,0
2025-01-05,ABPNews,451,1,755,2.8510836106292627,0
2025-01-05,NDTV,447,1,606,2.949221618777696,0
2025-01-05,IndiaTV,474,16,782,3.9319495186817695,0
2025-01-05,CNNNews18,419,1,656,3.1499837722654607,0
2025-01-05,TimesNow,454,8,851,4.184592445487822,0
2025-01-05,RepublicTV,468,3,798,3.279739257222116,0
2025-01-05,TV9,474,2,623,3.3578964763406542,0
2025-01-05,Asianet,463,21,723,3.2902532375269256,0
2025-01-05,Colors,422,10,629,3.112777428851972,0
2025-01-05,SonyTV,433,1,742,3.1178149868241105,0
2025-01-05,StarPlus,470,1,755,4.06095794144433,0
2025-01-05,ZeeCinema,443,15,769,4.29171824021919,0
2025-01-05,StarMovies,472,10,528,3.2774466802474116,0
2025-01-05,HBO,456,1,653,3.7885367546397255,0
2025-01-05,Discovery,447,1,803,2.8123634010231875,0
2025-01-05,NationalGeographic,416,6,606,3.8668625883284937,0
2025-01-05,AnimalPlanet,468,1,921,3.0895481663458675,0
2025-01-05,HistoryTV18,464,9,634,3.362147834855352,0
2025-01-05,CartoonNetwork,414,20,914,3.912550875829422,0
2025-01-05,Pogo,431,12,837,3.735864375315725,0
2025-01-05,Nickelodeon,462,7,637,3.095577878597091,0
2025-01-05,SonyMax,446,1,593,3.4388632537951924,0
2025-01-05,ZeeTelugu,435,10,933,2.853100065741491,0
2025-01-05,ETV,446,4,572,3.885871526295937,0
2025-01-05,GeminiTV,434,9,865,4.251332306388462,0
2025-01-05,MaaTV,467,3,752,3.588717211249048,0
2025-01-05,UdayaTV,433,1,575,3.6306252441702167,0
2025-01-05,SuryaTV,463,11,795,2.935914290409338,0
2025-01-05,KTV,444,10,664,4.14476931553182,0
2025-01-05,JayaTV,471,5,997,3.5405924614934103,0
2025-01-05,RajTV,470,1,631,4.19114665189237,0
2025-01-05,KalaignarTV,433,10,857,3.6213534807429575,0
2025-01-05,DDNews,448,3,735,3.122508452408619,0
2025-01-05,DDNational,437,1,886,3.681756446475225,0
2025-01-05,DDSports,478,7,739,3.0578280758616105,0
2025-01-05,TenSports,436,9,763,3.340939110153411,0
2025-01-05,StarSports,451,6,706,3.4848226086131984,0
2025-01-05,SonySports,449,22,606,3.2643645248731366,0
2025-01-05,Eurosport,449,22,717,3.461110660437322,0
2025-01-05,CNBC,444,5,811,3.8042599024931114,0
2025-01-05,BloombergTV,445,18,998,4.0920884550166985,0
2025-01-05,BBCWorld,444,17,898,4.1180803462566615,0
2025-01-05,AlJazeera,440,1,617,3.806441892790766,0
2025-01-05,France24,423,9,629,3.7917112641572057,0
2025-01-05,VH1,414,1,701,4.105616856842236,0
2025-01-05,MTV,417,2,874,3.7465849323836036,0
2025-01-06,News24,20,184,3920,10.397926070755314,1
2025-01-06,StarTV,52,196,3909,9.585741764666102,1
2025-01-06,ZeeTV,56,208,3787,9.712186916325326,1
2025-01-06,SunTV,29,206,4011,9.338671786431064,1
2025-01-06,ABPNews,20,177,4173,10.544439964718446,1
2025-01-06,NDTV,24,201,4037,9.699409528701283,1
2025-01-06,IndiaTV,24,202,3944,10.133426781818217,1
2025-01-06,CNNNews18,21,184,3880,9.301680650593774,1
2025-01-06,TimesNow,29,185,3942,10.288806407823511,1
2025-01-06,RepublicTV,27,177,3949,10.060110421204639,1
2025-01-06,TV9,21,182,3917,10.2727665964869,1
2025-01-06,Asianet,39,201,3726,10.187768046192193,1
2025-01-06,Colors,50,203,3802,9.230687369787159,1
2025-01-06,SonyTV,68,195,3919,10.228513432065956,1
2025-01-06,StarPlus,65,201,4027,9.672265902095738,1
2025-01-06,ZeeCinema,4,208,4275,9.538570094107039,1
2025-01-06,StarMovies,22,204,3701,9.562271794416212,1
2025-01-06,HBO,52,200,4069,9.898947061530093,1
2025-01-06,Discovery,14,190,3968,9.686757435985108,1
2025-01-06,NationalGeographic,13,190,3931,9.949448052473286,1
2025-01-06,AnimalPlanet,18,203,3995,9.32587535149278,1
2025-01-06,HistoryTV18,46,165,3882,9.94706935392595,1
2025-01-06,CartoonNetwork,53,200,4378,10.226919655326267,1
2025-01-06,Pogo,36,209,3784,10.0270034223236,1
2025-01-06,Nickelodeon,42,173,3896,9.514273010287535,1
2025-01-06,SonyMax,31,172,3961,9.595132709773756,1
2025-01-06,ZeeTelugu,51,166,4177,9.735532170415999,1
2025-01-06,ETV,51,178,3857,10.89241077340187,1
2025-01-06,GeminiTV,48,185,4030,9.416820785307653,1
2025-01-06,MaaTV,16,175,3807,9.26221924976562,1
2025-01-06,UdayaTV,70,210,4075,10.471211728529049,1
2025-01-06,SuryaTV,8,194,3798,10.44943225053611,1
2025-01-06,KTV,47,175,3697,10.085973541672146,1
2025-01-06,JayaTV,16,191,3976,9.23451411395714,1
2025-01-06,RajTV,35,179,4109,9.340917930687393,1
2025-01-06,KalaignarTV,52,201,3750,10.23771965898823,1
2025-01-06,DDNews,64,186,3816,10.308589980599287,1
2025-01-06,DDNational,20,198,4013,10.38231551487226,1
2025-01-06,DDSports,70,213,4166,10.412207756032979,1
2025-01-06,TenSports,38,202,4036,10.513722393595007,1
2025-01-06,StarSports,47,177,3860,10.530452331239207,1
2025-01-06,SonySports,14,195,3955,9.762428915056267,1
2025-01-06,Eurosport,25,214,3736,9.671839594197285,1
2025-01-06,CNBC,20,199,4058,10.808449071474046,1
2025-01-06,BloombergTV,37,215,3765,9.121280331686291,1
2025-01-06,BBCWorld,38,176,3662,9.659574709639463,1
2025-01-06,AlJazeera,7,192,3780,9.956119816157035,1
2025-01-06,France24,22,206,3755,9.501658251454513,1
2025-01-06,VH1,8,184,3948,9.698906284300694,1
2025-01-06,MTV,49,202,3901,10.16559435957432,1
2025-01-07,News24,426,1,694,3.4364407457436825,0
2025-01-07,StarTV,411,1,780,3.8086354203748445,0
2025-01-07,ZeeTV,422,17,754,2.935952265584839,0
2025-01-07,SunTV,404,12,638,3.162155006615194,0
2025-01-07,ABPNews,415,14,861,3.324992150338106,0
2025-01-07,NDTV,425,1,677,2.9126087693473837,0
2025-01-07,IndiaTV,388,22,708,2.6711526555752987,0
2025-01-07,CNNNews18,439,11,562,2.4693773988058836,0
2025-01-07,TimesNow,403,1,654,3.6589944511923598,0
2025-01-07,RepublicTV,424,7,768,2.7820560465679693,0
2025-01-07,TV9,430,17,606,3.169531369100918,0
2025-01-07,Asianet,393,14,764,2.947366376036436,0
2025-01-07,Colors,419,13,896,2.8587276291071357,0
2025-01-07,SonyTV,444,15,722,3.814136541354427,0
2025-01-07,StarPlus,393,1,746,3.5166735971451026,0
2025-01-07,ZeeCinema,426,1,498,3.145980512776093,0
2025-01-07,StarMovies,436,4,573,3.126650731043707,0
2025-01-07,HBO,411,1,593,2.8777752154521234,0
2025-01-07,Discovery,443,16,515,3.2353459277370895,0
2025-01-07,NationalGeographic,417,1,729,3.6685504581308734,0
2025-01-07,AnimalPlanet,448,8,675,4.004287423533568,0
2025-01-07,HistoryTV18,429,16,552,3.925327047527711,0
2025-01-07,CartoonNetwork,437,1,592,2.7952369616179245,0
2025-01-07,Pogo,439,1,585,2.894662011087096,0
2025-01-07,Nickelodeon,427,16,737,2.602410432050865,0
2025-01-07,SonyMax,438,8,786,2.9649569581375355,0
2025-01-07,ZeeTelugu,431,6,514,3.316207116834674,0
2025-01-07,ETV,410,12,631,3.250470363164143,0
2025-01-07,GeminiTV,410,17,621,2.9209313822779532,0
2025-01-07,MaaTV,443,10,646,2.8975821284960284,0
2025-01-07,UdayaTV,412,13,877,3.365602090828702,0
2025-01-07,SuryaTV,437,9,667,3.6591420120284925,0
2025-01-07,KTV,433,8,415,3.7255709582905725,0
2025-01-07,JayaTV,419,3,698,3.721126918642128,0
2025-01-07,RajTV,429,7,645,3.4475979266376173,0
2025-01-07,KalaignarTV,415,3,683,2.779392058000254,0
2025-01-07,DDNews,425,5,492,2.4885063725961882,0
2025-01-07,DDNational,453,8,734,2.5267385184197915,0
2025-01-07,DDSports,415,1,588,2.8697711992742576,0
2025-01-07,TenSports,411,7,749,3.547071724095037,0
2025-01-07,StarSports,397,11,851,3.749165433692641,0
2025-01-07,SonySports,418,12,588,2.5592694354891568,0
2025-01-07,Eurosport,439,1,476,3.501195413969019,0
2025-01-07,CNBC,395,17,708,3.736276593239091,0
2025-01-07,BloombergTV,404,1,726,2.856434237934347,0
2025-01-07,BBCWorld,404,1,473,2.5430017968861525,0
2025-01-07,AlJazeera,437,8,541,2.6585785507562525,0
2025-01-07,France24,427,1,675,4.018316782964198,0
2025-01-07,VH1,397,15,446,2.959721388049204,0
2025-01-07,MTV,407,2,860,3.38193632598686,0
2025-01-08,News24,4,195,3861,9.487217186064427,1
2025-01-08,StarTV,3,202,4055,10.729624253327465,1
2025-01-08,ZeeTV,19,201,3921,9.662889008272222,1
2025-01-08,SunTV,-10,173,4414,9.564717365053722,1
2025-01-08,ABPNews,17,176,3931,9.466109916087458,1
2025-01-08,NDTV,33,208,4357,10.477100278754545,1
2025-01-08,IndiaTV,19,204,3876,9.842888898405175,1
2025-01-08,CNNNews18,27,196,3975,10.135895027897568,1
2025-01-08,TimesNow,44,205,4290,10.274240058215344,1
2025-01-08,RepublicTV,39,182,3958,9.863839807421002,1
2025-01-08,TV9,12,203,4027,10.221634489040891,1
2025-01-08,Asianet,26,202,4151,9.549922844768803,1
2025-01-08,Colors,23,209,4512,10.26455564307075,1
2025-01-08,SonyTV,21,218,4063,10.041249164887295,1
2025-01-08,StarPlus,14,183,3968,10.17540230678975,1
2025-01-08,ZeeCinema,51,196,4147,10.709040031590488,1
2025-01-08,StarMovies,17,200,4156,9.363586726742989,1
2025-01-08,HBO,50,185,4358,9.220256113793873,1
2025-01-08,Discovery,13,227,4321,10.047726882419743,1
2025-01-08,NationalGeographic,54,175,3828,10.451669393673244,1
2025-01-08,AnimalPlanet,14,177,4206,9.85722877263308,1
2025-01-08,HistoryTV18,32,197,4242,10.468380410532449,1
2025-01-08,CartoonNetwork,53,195,4166,9.613854052192494,1
2025-01-08,Pogo,49,222,4500,10.180712508776182,1
2025-01-08,Nickelodeon,51,207,3999,10.794408983553167,1
2025-01-08,SonyMax,18,201,4356,10.915297212373178,1
2025-01-08,ZeeTelugu,56,203,4242,10.655360951712122,1
2025-01-08,ETV,-4,211,3846,9.962099498315249,1
2025-01-08,GeminiTV,44,203,4280,9.874504399316661,1
2025-01-08,MaaTV,22,203,4136,9.93604912229669,1
2025-01-08,UdayaTV,16,193,3989,9.992558048452732,1
2025-01-08,SuryaTV,51,211,4073,9.942444145906498,1
2025-01-08,KTV,59,189,4496,10.354924484354012,1
2025-01-08,JayaTV,24,176,4387,10.527811062883432,1
2025-01-08,RajTV,-6,215,4355,10.40770333448121,1
2025-01-08,KalaignarTV,51,200,4456,10.919670358835349,1
2025-01-08,DDNews,24,190,4051,10.257468495894065,1
2025-01-08,DDNational,18,188,4272,10.413010219902175,1
2025-01-08,DDSports,37,198,4183,10.536830994281035,1
2025-01-08,TenSports,22,197,4058,9.627350955819207,1
2025-01-08,StarSports,52,217,4068,10.353684045487272,1
2025-01-08,SonySports,17,215,4212,9.597110325266133,1
2025-01-08,Eurosport,24,217,3823,10.604430839534913,1
2025-01-08,CNBC,23,171,4098,9.750022169747009,1
2025-01-08,BloombergTV,35,196,4426,9.420418042918062,1
2025-01-08,BBCWorld,34,184,4390,10.126259261163096,1
2025-01-08,AlJazeera,28,200,3902,9.716490651484119,1
2025-01-08,France24,34,202,4337,10.24453508981519,1
2025-01-08,VH1,2,182,4279,10.731008775837788,1
2025-01-08,MTV,17,211,4065,9.635815657593884,1
2025-01-09,News24,434,8,548,3.3922485242340934,0
2025-01-09,StarTV,467,1,593,3.430522075027258,0
2025-01-09,ZeeTV,429,2,885,2.9744504815956714,0
2025-01-09,SunTV,454,1,742,3.6684817014619466,0
2025-01-09,ABPNews,478,18,700,3.902745554414647,0
2025-01-09,NDTV,472,7,1004,3.2178150077163092,0
2025-01-09,IndiaTV,447,14,900,3.242648919551986,0
2025-01-09,CNNNews18,459,19,803,3.215780536231601,0
2025-01-09,TimesNow,454,1,707,2.871690106143672,0
2025-01-09,RepublicTV,470,13,715,3.7220865762713853,0
2025-01-09,TV9,482,5,726,3.9428013754093914,0
2025-01-09,Asianet,466,13,860,4.255922690261787,0
2025-01-09,Colors,471,6,728,3.3579380399279493,0
2025-01-09,SonyTV,439,7,813,3.786506025872238,0
2025-01-09,StarPlus,475,4,816,2.9641575289740896,0
2025-01-09,ZeeCinema,461,3,602,4.242198530974647,0
2025-01-09,StarMovies,466,3,894,4.454244477777585,0
2025-01-09,HBO,436,20,785,4.228747565389643,0
2025-01-09,Discovery,470,17,680,2.997966259301149,0
2025-01-09,NationalGeographic,467,1,856,3.6386900737744847,0
2025-01-09,AnimalPlanet,438,4,586,4.071932405950205,0
2025-01-09,HistoryTV18,444,1,838,3.176351476144347,0
2025-01-09,CartoonNetwork,454,6,682,4.079764868911314,0
2025-01-09,Pogo,475,1,771,4.0355067062643,0
2025-01-09,Nickelodeon,463,6,642,3.8483535663644846,0
2025-01-09,SonyMax,463,20,1016,4.012592523672183,0
2025-01-09,ZeeTelugu,470,1,649,2.981898266366334,0
2025-01-09,ETV,431,1,586,3.3071415246415463,0
2025-01-09,GeminiTV,446,16,885,3.829951877369272,0
2025-01-09,MaaTV,475,10,916,3.2493516355389143,0
2025-01-09,UdayaTV,427,1,755,4.03823803068906,0
2025-01-09,SuryaTV,477,2,605,3.538992415651226,0
2025-01-09,KTV,472,1,625,3.917276030833402,0
2025-01-09,JayaTV,436,6,902,3.8602471405002716,0
2025-01-09,RajTV,454,14,619,4.189689896288979,0
2025-01-09,KalaignarTV,462,21,865,4.504954110899867,0
2025-01-09,DDNews,436,14,833,3.8225117790442074,0
2025-01-09,DDNational,443,1,754,3.68428594980006,0
2025-01-09,DDSports,439,12,858,2.9997025776896997,0
2025-01-09,TenSports,422,1,904,3.260936799482927,0
2025-01-09,StarSports,458,13,628,3.643006296434188,0
2025-01-09,SonySports,472,5,705,3.761719749068453,0
2025-01-09,Eurosport,433,1,707,3.180859653635434,0
2025-01-09,CNBC,422,1,579,3.8688652086877116,0
2025-01-09,BloombergTV,434,18,750,4.461537315576935,0
2025-01-09,BBCWorld,435,8,926,3.9136215060392963,0
2025-01-09,AlJazeera,470,1,543,4.323897218740779,0
2025-01-09,France24,452,11,506,3.203003490655713,0
2025-01-09,VH1,443,11,563,4.263812181680318,0
2025-01-09,MTV,444,1,605,3.2962827642878683,0
2025-01-10,News24,32,174,4183,10.040692852003556,1
2025-01-10,StarTV,37,184,4137,9.612423143244797,1
2025-01-10,ZeeTV,28,192,3982,9.773279564826392,1
2025-01-10,SunTV,20,217,3948,10.34191519831639,1
2025-01-10,ABPNews,18,198,4169,9.487508939543751,1
2025-01-10,NDTV,65,170,3966,9.182528181258514,1
2025-01-10,IndiaTV,16,200,3968,9.499280180081373,1
2025-01-10,CNNNews18,55,186,4311,8.9826215662979,1
2025-01-10,TimesNow,5,191,4071,10.442510239489385,1
2025-01-10,RepublicTV,46,178,3886,9.775009687848847,1
2025-01-10,TV9,6,188,3799,9.584209434541824,1
2025-01-10,Asianet,44,203,4062,9.83249023286596,1
2025-01-10,Colors,11,177,3694,9.89298012783189,1
2025-01-10,SonyTV,40,177,3864,9.87265700465628,1
2025-01-10,StarPlus,57,182,4330,10.282305135826538,1
2025-01-10,ZeeCinema,45,194,3789,10.242753820597134,1
2025-01-10,StarMovies,31,186,4311,9.680308292503376,1
2025-01-10,HBO,26,188,4212,9.798913227069505,1
2025-01-10,Discovery,56,215,3961,9.612008860076903,1
2025-01-10,NationalGeographic,47,198,3770,9.316448955268573,1
